Breed,Age,Nutrition_Protein,Nutrition_Carbohydrates,Nutrition_Minerals,Health_Status,Lactation_Stage,Reproductive_Status,Milking_Frequency,Environmental_Temperature,Environmental_Humidity,Environmental_Housing,Previous_Milk_Production,Milk_Production
Guernsey,5,28.73375917161681,42.34437669332229,13.974481568990917,Healthy,Late Lactation,Post-Calving,Three times a day,25.343708943772572,46.72844369734166,Pasture,19.741647280119405,18.27339194885439
Ayrshire,7,29.89770402174058,33.14629421525522,15.136110465443245,Healthy,Mid-Lactation,Post-Calving,Three times a day,21.915948549214832,73.34296438582948,Pasture,11.137611802959315,9.405678725264735
Holstein,3,18.73820431487082,35.68540689328646,12.533571700596614,Unhealthy,Early Lactation,Post-Calving,Two times a day,29.494090647893458,47.8043528009684,Barn,5.560974966666786,11.38301961309143
Guernsey,3,28.594875229649535,44.6018608496426,19.876595923412516,Unhealthy,Mid-Lactation,Calving,Two times a day,16.190244197282066,75.70445312176588,Pasture,7.971319232001079,18.56212178956175
Guernsey,3,24.1929482453234,35.05260752791655,12.914957409237228,Unhealthy,Late Lactation,Pregnant,Three times a day,17.272343772115082,58.34599592324304,Pasture,3.40260654767218,10.605264512766972
Ayrshire,3,28.87816463333496,34.44734671924973,17.707425309055516,Unhealthy,Mid-Lactation,Pregnant,Three times a day,15.788560745769512,67.07907009244114,Barn,15.23774557781505,7.071822919146371
Holstein,3,24.85582730303489,43.77311999434163,14.27495650356759,Healthy,Late Lactation,Calving,Two times a day,26.98007599830388,59.889633915225744,Barn,15.469480356455358,15.943102116316636
Holstein,3,25.945344121278776,31.66122667978437,12.0621740508414,Healthy,Late Lactation,Pregnant,Two times a day,29.414559100492383,43.75963717666408,Pasture,17.50241984764989,8.857003949504215
Guernsey,3,24.52534689596879,41.39373615171948,17.99718763964861,Healthy,Mid-Lactation,Calving,Three times a day,16.4995142725877,51.62889230482661,Barn,0.5320512719312775,6.369388512046108
Jersey,5,28.37391456368818,44.82098349979161,13.336067890290431,Unhealthy,Late Lactation,Pregnant,Three times a day,32.309387219974,79.34927415988024,Barn,11.239626832527584,14.464589172110692
Guernsey,7,26.806919027444422,43.519440161619734,18.65193347397811,Healthy,Late Lactation,Post-Calving,Three times a day,20.529481716349544,78.4285900667927,Barn,4.285108686863688,16.032113532260862
Guernsey,3,24.25512374616498,39.77501878059639,19.15257184917823,Healthy,Early Lactation,Pregnant,Two times a day,31.444834890476784,52.81947590622189,Barn,6.817660309847142,15.834323351685429
Guernsey,5,28.417929648618564,34.71091192489098,18.59823835391276,Unhealthy,Early Lactation,Calving,Three times a day,38.565531360845895,79.85187216980904,Barn,15.69911230573015,19.55348828257415
Guernsey,5,20.943426387064015,33.81482971767475,10.350079148068057,Unhealthy,Early Lactation,Calving,Two times a day,31.58654088129243,73.82204781987599,Barn,3.8406730472299233,15.733338977499255
Ayrshire,7,19.88808791643031,42.288826573071916,17.873733450051056,Healthy,Early Lactation,Post-Calving,Two times a day,36.1966332701666,64.4383799772902,Pasture,12.766835011621794,15.398668718973724
Holstein,3,19.924801263960866,43.19732870927543,14.11339466499144,Unhealthy,Late Lactation,Calving,Two times a day,37.756764161833615,41.60498481044038,Pasture,13.091323824471964,17.149705074724405
Ayrshire,7,22.008106544942855,37.881523688185396,18.737229201822252,Healthy,Mid-Lactation,Pregnant,Three times a day,26.682025160455574,76.05787318153517,Barn,19.081878298046014,0.0037039059088561643
Ayrshire,3,20.86428037561221,33.66509911179699,16.37954262684739,Healthy,Late Lactation,Pregnant,Three times a day,31.855799506072962,62.29717117057279,Barn,15.50321857057874,7.248628223755413
Ayrshire,5,29.161084206116865,31.694148126167605,18.336431341439585,Unhealthy,Late Lactation,Post-Calving,Three times a day,35.4472620853402,74.73904604811078,Pasture,16.072702943073867,14.752061920688442
Guernsey,5,19.27000912594301,31.307692017477468,14.994317698668354,Healthy,Late Lactation,Calving,Two times a day,23.558613908985265,73.37716479622969,Barn,10.63201498035787,11.994380222205548
Jersey,5,26.38788885647505,40.78616171030784,15.350255045989329,Unhealthy,Mid-Lactation,Post-Calving,Three times a day,21.273535597449477,73.32024860804344,Pasture,3.7356161432474133,3.551440052632353
Holstein,5,20.27065847742007,36.301780917715874,11.443876321336672,Unhealthy,Early Lactation,Pregnant,Two times a day,37.71836574668013,67.9269544285962,Barn,8.511267314367032,6.0746617817709065
Jersey,7,28.5796455932442,43.580398114168055,17.839873586893553,Healthy,Late Lactation,Post-Calving,Two times a day,32.431284008851634,51.65660554704195,Pasture,10.989791470236408,6.735852221642135
Ayrshire,3,29.535783458218887,41.09506951090145,14.193896116669716,Healthy,Late Lactation,Calving,Two times a day,20.27237120101983,53.446410309780795,Pasture,13.568385034274247,11.356562223446321
Ayrshire,3,23.585640105239804,32.8689062687188,15.000801182715826,Healthy,Early Lactation,Post-Calving,Two times a day,25.778001424226723,52.33876850330745,Barn,12.154182236638544,16.63196592882153
Jersey,7,28.54885776273758,39.20666128223549,17.850977140957077,Unhealthy,Late Lactation,Calving,Two times a day,34.114842468907426,40.801839981302585,Barn,7.879556578344871,18.649835595553597
Jersey,3,18.061742049056576,36.53258181597239,15.98845400079439,Healthy,Mid-Lactation,Calving,Two times a day,28.129511782042613,63.30275636859245,Barn,5.306262139916829,15.00184825707278
Jersey,5,27.8393630088972,38.65874596152919,12.010987274426675,Unhealthy,Late Lactation,Pregnant,Three times a day,30.598850355981337,67.95334681784132,Barn,3.364616864073662,16.859007803536198
Ayrshire,3,20.743501938299083,41.07103685007776,15.902326591508928,Unhealthy,Late Lactation,Pregnant,Two times a day,33.09043684908126,74.15463974100814,Pasture,13.876907725445326,9.401919169030322
Ayrshire,5,28.904415711232414,42.09293821505686,14.076328579796558,Healthy,Early Lactation,Pregnant,Three times a day,29.928220531415533,45.60661733530922,Barn,12.9079734862497,7.795506392445748
Holstein,7,18.013441337761314,42.656059896100864,14.695255420438627,Unhealthy,Late Lactation,Calving,Two times a day,27.961903726132697,61.76732595907207,Pasture,13.747449315156132,7.854170642884339
Holstein,3,24.674180820477083,33.80962311858037,10.283112744026678,Healthy,Late Lactation,Post-Calving,Three times a day,32.99074282530656,40.320325626951316,Barn,7.450549056055897,12.320770566799142
Ayrshire,7,27.079629645419217,30.466733998760365,12.100293495162816,Healthy,Mid-Lactation,Calving,Three times a day,32.46151285037281,43.80374590842918,Pasture,5.2481564514149,2.4847341111161803
Jersey,3,21.104259968374897,41.0894210274716,12.810380813810283,Healthy,Early Lactation,Pregnant,Three times a day,30.116937604396295,42.168469768239724,Barn,15.194426573618507,11.589883655805224
Jersey,5,20.317594375047516,31.59515589383662,17.12960007858806,Healthy,Early Lactation,Pregnant,Three times a day,23.63494592116631,69.01912136061948,Barn,15.472947901106682,13.30265720367451
